Number,Class,Title,Level,Points,URL
1126,GEOMETRIA COMPUTACIONAL,Guerra nas Estrelas,9,9.9,https://www.urionlinejudge.com.br/judge/pt/problems/view/1126
1127,AD-HOC,Plágio Musical,8,8.3,https://www.urionlinejudge.com.br/judge/pt/problems/view/1127
1128,GRAFOS,Ir e Vir,4,4.5,https://www.urionlinejudge.com.br/judge/pt/problems/view/1128
1129,AD-HOC,Leitura Ótica,1,1.2,https://www.urionlinejudge.com.br/judge/pt/problems/view/1129
1130,AD-HOC,Jogo da Velha,10,10.1,https://www.urionlinejudge.com.br/judge/pt/problems/view/1130
1131,INICIANTE,Grenais,1,1.8,https://www.urionlinejudge.com.br/judge/pt/problems/view/1131
1132,INICIANTE,Múltiplos de 13,1,1.9,https://www.urionlinejudge.com.br/judge/pt/problems/view/1132
1133,INICIANTE,Resto da Divisão,3,3.0,https://www.urionlinejudge.com.br/judge/pt/problems/view/1133
1134,INICIANTE,Tipo de Combustível,1,1.3,https://www.urionlinejudge.com.br/judge/pt/problems/view/1134
1135,GRAFOS,Colônia de Formigas,8,8.7,https://www.urionlinejudge.com.br/judge/pt/problems/view/1135
1136,AD-HOC,Bingo!,4,4.9,https://www.urionlinejudge.com.br/judge/pt/problems/view/1136
1137,GEOMETRIA COMPUTACIONAL,Pontos Cocirculares,8,8.5,https://www.urionlinejudge.com.br/judge/pt/problems/view/1137
1138,MATEMÁTICA,Contagem de Dígitos,8,8.3,https://www.urionlinejudge.com.br/judge/pt/problems/view/1138
1139,AD-HOC,Necessidades Elétricas,10,10.0,https://www.urionlinejudge.com.br/judge/pt/problems/view/1139
1140,AD-HOC,Flores Florescem da França,4,4.3,https://www.urionlinejudge.com.br/judge/pt/problems/view/1140
1141,STRINGS,Cultivando Strings,10,10.4,https://www.urionlinejudge.com.br/judge/pt/problems/view/1141
1142,INICIANTE,PUM,1,1.1,https://www.urionlinejudge.com.br/judge/pt/problems/view/1142
1143,INICIANTE,Quadrado e ao Cubo,1,1.0,https://www.urionlinejudge.com.br/judge/pt/problems/view/1143
1144,INICIANTE,Sequência Lógica,1,1.1,https://www.urionlinejudge.com.br/judge/pt/problems/view/1144
1145,INICIANTE,Sequência Lógica 2,2,2.1,https://www.urionlinejudge.com.br/judge/pt/problems/view/1145
1146,INICIANTE,Sequências Crescentes,3,3.2,https://www.urionlinejudge.com.br/judge/pt/problems/view/1146
1147,AD-HOC,Fuga do Cavalo,6,6.1,https://www.urionlinejudge.com.br/judge/pt/problems/view/1147
1148,GRAFOS,Países em Guerra,5,5.7,https://www.urionlinejudge.com.br/judge/pt/problems/view/1148
1149,INICIANTE,Somando Inteiros Consecutivos,1,1.4,https://www.urionlinejudge.com.br/judge/pt/problems/view/1149
1150,INICIANTE,Ultrapassando Z,1,1.7,https://www.urionlinejudge.com.br/judge/pt/problems/view/1150
1151,INICIANTE,Fibonacci Fácil,2,2.8,https://www.urionlinejudge.com.br/judge/pt/problems/view/1151
1152,GRAFOS,Estradas Escuras,5,5.5,https://www.urionlinejudge.com.br/judge/pt/problems/view/1152
1153,INICIANTE,Fatorial Simples,1,1.0,https://www.urionlinejudge.com.br/judge/pt/problems/view/1153
1154,INICIANTE,Idades,1,1.3,https://www.urionlinejudge.com.br/judge/pt/problems/view/1154
1155,INICIANTE,Sequência S,2,2.4,https://www.urionlinejudge.com.br/judge/pt/problems/view/1155
1156,INICIANTE,Sequência S II,2,2.2,https://www.urionlinejudge.com.br/judge/pt/problems/view/1156
1157,INICIANTE,Divisores I,1,1.0,https://www.urionlinejudge.com.br/judge/pt/problems/view/1157
1158,INICIANTE,Soma de Ímpares Consecutivos III,1,1.5,https://www.urionlinejudge.com.br/judge/pt/problems/view/1158
1159,INICIANTE,Soma de Pares Consecutivos,2,2.0,https://www.urionlinejudge.com.br/judge/pt/problems/view/1159
1160,INICIANTE,Crescimento Populacional,5,5.6,https://www.urionlinejudge.com.br/judge/pt/problems/view/1160
1161,MATEMÁTICA,Soma de Fatoriais,5,5.5,https://www.urionlinejudge.com.br/judge/pt/problems/view/1161
1162,ESTRUTURAS E BIBLIOTECAS,Organizador de Vagões,5,5.2,https://www.urionlinejudge.com.br/judge/pt/problems/view/1162
1163,MATEMÁTICA,Angry Ducks,7,7.8,https://www.urionlinejudge.com.br/judge/pt/problems/view/1163
1164,INICIANTE,Número Perfeito,2,2.2,https://www.urionlinejudge.com.br/judge/pt/problems/view/1164
1165,INICIANTE,Número Primo,2,2.9,https://www.urionlinejudge.com.br/judge/pt/problems/view/1165
1166,PARADIGMAS,"Torre de Hanoi, Novamente!",2,2.2,https://www.urionlinejudge.com.br/judge/pt/problems/view/1166
1167,ESTRUTURAS E BIBLIOTECAS,Acampamento de Férias,5,5.4,https://www.urionlinejudge.com.br/judge/pt/problems/view/1167
1168,STRINGS,LED,3,3.0,https://www.urionlinejudge.com.br/judge/pt/problems/view/1168
1169,MATEMÁTICA,Trigo no Tabuleiro,4,4.5,https://www.urionlinejudge.com.br/judge/pt/problems/view/1169
1170,MATEMÁTICA,Blobs,3,3.0,https://www.urionlinejudge.com.br/judge/pt/problems/view/1170
1171,AD-HOC,Frequência de Números,3,3.9,https://www.urionlinejudge.com.br/judge/pt/problems/view/1171
1172,INICIANTE,Substituição em Vetor I,1,1.8,https://www.urionlinejudge.com.br/judge/pt/problems/view/1172
1173,INICIANTE,Preenchimento de Vetor I,1,1.8,https://www.urionlinejudge.com.br/judge/pt/problems/view/1173
1174,INICIANTE,Seleçao em Vetor I,3,3.4,https://www.urionlinejudge.com.br/judge/pt/problems/view/1174
1175,INICIANTE,Troca em Vetor I,2,2.2,https://www.urionlinejudge.com.br/judge/pt/problems/view/1175
1176,INICIANTE,Fibonacci em Vetor,3,3.5,https://www.urionlinejudge.com.br/judge/pt/problems/view/1176
1177,INICIANTE,Preenchimento de Vetor II,1,1.9,https://www.urionlinejudge.com.br/judge/pt/problems/view/1177
1178,INICIANTE,Preenchimento de Vetor III,2,2.5,https://www.urionlinejudge.com.br/judge/pt/problems/view/1178
1179,INICIANTE,Preenchimento de Vetor IV,2,2.5,https://www.urionlinejudge.com.br/judge/pt/problems/view/1179
1180,INICIANTE,Menor e Posição,3,3.3,https://www.urionlinejudge.com.br/judge/pt/problems/view/1180
1181,INICIANTE,Linha na Matriz,3,3.9,https://www.urionlinejudge.com.br/judge/pt/problems/view/1181
1182,INICIANTE,Coluna na Matriz,2,2.4,https://www.urionlinejudge.com.br/judge/pt/problems/view/1182
1183,INICIANTE,Acima da Diagonal Principal,4,4.1,https://www.urionlinejudge.com.br/judge/pt/problems/view/1183
1184,INICIANTE,Abaixo da Diagonal Principal,2,2.2,https://www.urionlinejudge.com.br/judge/pt/problems/view/1184
1185,INICIANTE,Acima da Diagonal Secundária,2,2.7,https://www.urionlinejudge.com.br/judge/pt/problems/view/1185
1186,INICIANTE,Abaixo da Diagonal Secundária,3,3.4,https://www.urionlinejudge.com.br/judge/pt/problems/view/1186
1187,INICIANTE,Área Superior,3,3.8,https://www.urionlinejudge.com.br/judge/pt/problems/view/1187
1188,INICIANTE,Área Inferior,1,1.5,https://www.urionlinejudge.com.br/judge/pt/problems/view/1188
1189,INICIANTE,Área Esquerda,2,2.3,https://www.urionlinejudge.com.br/judge/pt/problems/view/1189
1190,INICIANTE,Área Direita,1,1.7,https://www.urionlinejudge.com.br/judge/pt/problems/view/1190
1191,GRAFOS,Recuperação da Árvore,5,5.8,https://www.urionlinejudge.com.br/judge/pt/problems/view/1191
1192,AD-HOC,O jogo Matemático de Paula,2,2.3,https://www.urionlinejudge.com.br/judge/pt/problems/view/1192
1193,MATEMÁTICA,Conversão entre Bases,3,3.7,https://www.urionlinejudge.com.br/judge/pt/problems/view/1193
1194,GRAFOS,"Prefixa, Infixa e Posfixa",3,3.7,https://www.urionlinejudge.com.br/judge/pt/problems/view/1194
1195,GRAFOS,Árvore Binária de Busca,5,5.9,https://www.urionlinejudge.com.br/judge/pt/problems/view/1195
1196,AD-HOC,WERTYU,5,5.6,https://www.urionlinejudge.com.br/judge/pt/problems/view/1196
1197,MATEMÁTICA,Volta à Faculdade de Física,1,1.3,https://www.urionlinejudge.com.br/judge/pt/problems/view/1197
1198,MATEMÁTICA,O Bravo Guerreiro Hashmat,5,5.0,https://www.urionlinejudge.com.br/judge/pt/problems/view/1198
1199,MATEMÁTICA,Conversão Simples de Base,3,3.6,https://www.urionlinejudge.com.br/judge/pt/problems/view/1199
1200,GRAFOS,Operações em ABP I,4,4.7,https://www.urionlinejudge.com.br/judge/pt/problems/view/1200
1201,GRAFOS,Operações em ABP II,7,7.6,https://www.urionlinejudge.com.br/judge/pt/problems/view/1201
1202,MATEMÁTICA,Festival das Noites Brancas,7,7.6,https://www.urionlinejudge.com.br/judge/pt/problems/view/1202
1203,PARADIGMAS,Pontes de São Petersburgo,7,7.4,https://www.urionlinejudge.com.br/judge/pt/problems/view/1203
1204,GEOMETRIA COMPUTACIONAL,"Myachowski, o Futebol Russo",9,9.2,https://www.urionlinejudge.com.br/judge/pt/problems/view/1204
1205,GRAFOS,Cerco a Leningrado,7,7.3,https://www.urionlinejudge.com.br/judge/pt/problems/view/1205
1206,AD-HOC,Desafio de São Petersburgo,9,9.2,https://www.urionlinejudge.com.br/judge/pt/problems/view/1206
1207,GRAFOS,Os Benefícios da Vodka,9,9.0,https://www.urionlinejudge.com.br/judge/pt/problems/view/1207
1208,GRAFOS,As dinastias de São Petersburgo,7,7.8,https://www.urionlinejudge.com.br/judge/pt/problems/view/1208
1209,AD-HOC,Festas de São Petersburgo,9,9.3,https://www.urionlinejudge.com.br/judge/pt/problems/view/1209
1210,PARADIGMAS,Produção Ótima de Ótima Vodka,5,5.5,https://www.urionlinejudge.com.br/judge/pt/problems/view/1210
